NM1	NM2	NM3	NM4	HD1	HD2	HR1	HR2	DT1	DT2	DT3
3990448	4337667	3619544	3894416	3661943	4058452	3839071	3237618	2826268	954703	4268585
:fairy: :sparkles: 	1694894	1780024	1453506	1274976	1729454	1034283	1447877	1944239	2108062	2623559	1474230
:SHAKING_FACE:	1106770	931423	700884	1095485	1131999	620287	759277	709125	824664	722228	723631
4 girls 2 cups	1439609	1133198	1200478	877489	1069385	633425	1288947	1055120	1631607	2157773	764347
assalamualaikum	1252275	2131716	829630	868282	1023810	589099	874157	1036051	1620968	1530478	1324222
Ata - Ganathar	1053824	569312	754848	557762	683579	331813	777338	577662	972581	869147	366381
baphomet chest release	1251958	1230081	1202273	1228317	965089	771137	1068085	876361	1961102	1542318	727469
cat band	1182727	1101871	862594	858512	1174137	1014524	1169504	1460495	1471573	1272959	1003871
cold bread	1320052	1813314	985715	1010998	1250546	837732	1255954	1394152	1449322	1758673	809138
costco hotdog	1377516	1652838	1811428	1587967	1560468	1268710	1675640	1543385	2344717	2860735	2053798
FADED	1375921	1751819	1044964	1044878	1413939	891148	1166434	1287905	1631032	1691052	1114318
Fuwari	1295136	2345411	1557740	862030	1174437	1306205	1374498	930349	1469197	1418900	1872601
Greece A 2024	1541890	1665187	1062109	1306736	1366105	1006899	1475580	1079982	1272241	2807682	1349426
guy that thinks he's in an edit	1054059	1251914	1122398	1466491	1094093	710552	1395663	1275176	2039144	1836270	1232200
Harta Tahta Retot	1942672	1304427	1221211	1808407	2008506	1979840	1438799	1554328	1914176	1471994	1733527
Hetzer Club	1218512	1742727	1110374	1512818	1375565	1064085	966097	931969	1482099	2276212	1401059
HOW MANY PLAYERS???????????	1444063	985130	2145770	1396403	1734796	2309975	1865498	1374521	1563397	1280861	1034941
idk	896197	546790	359661	422642	471800	339552	432945	476298	675776	1523985	209606
is that a yes o arnao	1556867	1981196	1105375	887107	1131214	1202913	1057172	1007994	1730836	1962151	1522200
Kohai Team Hi	1608251	2128474	1823277	1417943	1586271	1002774	1590514	1957127	1417580	2120321	1835065
Le Zoroliasfa111l1	1440067	2097267	2136672	1816594	1523161	1626685	1551314	1977826	2603715	2762352	1375352
Luka=mrekk 	1287067	749033	761728	841126	826033	743210	927787	644039	1415593	1737657	1047302
malvon stinky	1293449	1245631	1029525	1264954	1071480	752973	1207332	969470	1258480	1489886	1085485
metalvampir	1349511	1751916	823837	858066	890598	717649	858151	957756	1365477	1327801	982248
misterkot	1210393	1110968	1131173	1220634	954495	1244506	1077850	1255060	1761456	1851614	1059799
Mystical Northern European Man	1425058	1419701	1257610	1353473	1627224	1121782	1269663	1152805	2154543	1658925	1934019
pero weon	1314334	1571779	1189242	1252242	1399519	1151252	1040313	1245757	1567863	1772327	1423118
Salyut Els Épimères	1524849	1303327	1657079	1182697	1186542	701047	1357952	1215560	1722436	1786976	1751530
SG 6WC Team B	1284485	818542	1475396	829671	940588	1213979	968203	1038401	1238540	1528617	756067
Small Countries Unite 2.5	1392047	1460413	1247926	1345370	948286	1614358	1677738	1528303	1673812	1671382	1006344
st	928002	750019	479763	500036	700213	605985	558201	546697	761445	818241	237541
The Gokaiger's	964100	793730	652922	1133075	770969	316163	879295	871579	1092796	1066836	438802
The Sigma Scaffolders 😈	767915	655203	268379	494485	314894	54997	409967	446702	825535	1099203	227464
The Train I Never Said	1009422	583519	564427	648956	555811	117280	712349	539744	2199628	1389971	610021
the voices :steamhappy:	1463768	1876657	924831	821321	1322283	797609	1215761	1007637	1600110	2027111	1122269
Time sério	1053705	354575	628560	635036	675082	358734	641351	795693	1324006	1533122	312631
UTC9 Bomb	1423691	2133800	1704580	1627545	1482358	1419047	1880067	1879287	2322315	2045673	1340796
we_are_the_unitedx_kingdom53	1576675	1927320	872346	1018807	870820	719278	974286	915179	1701776	2261534	1141432
wooper	1783430	1193394	1812478	1195726	1916297	1289412	1862307	993146	1549210	1224237	1284694
